,n,die,end,kind,start
0,0,3,3,B,0
1,0,1,14,L,3
2,0,1,15,B,14
3,0,6,42,L,15
4,0,6,48,B,42
5,0,5,53,B,48
6,0,6,59,B,53
7,0,1,60,B,59
8,0,3,63,B,60
9,0,1,60,S,63
10,0,3,63,B,60
11,0,4,67,B,63
12,0,6,73,B,67
13,0,4,77,B,73
14,0,3,100,L,77
0,1,4,14,L,0
1,1,6,20,B,14
2,1,1,42,L,20
3,1,3,45,B,42
4,1,1,46,B,45
5,1,6,52,B,46
6,1,1,53,B,52
7,1,1,54,B,53
8,1,4,58,B,54
9,1,6,60,S,58
10,1,5,65,B,60
11,1,3,68,B,65
12,1,6,74,B,68
13,1,6,100,L,74
0,2,5,5,B,0
1,2,3,8,B,5
2,2,5,13,B,8
3,2,4,17,B,13
4,2,2,19,B,17
5,2,5,24,B,19
6,2,1,25,B,24
7,2,4,29,B,25
8,2,1,30,B,29
9,2,4,34,B,30
10,2,5,39,B,34
11,2,4,43,B,39
12,2,6,11,S,43
13,2,5,6,S,11
14,2,3,31,L,6
15,2,1,32,B,31
16,2,6,38,B,32
17,2,2,40,B,38
18,2,1,41,B,40
19,2,2,43,B,41
20,2,5,48,B,43
21,2,1,11,S,48
22,2,2,13,B,11
23,2,6,19,B,13
24,2,2,42,L,19
25,2,6,48,B,42
26,2,2,50,B,48
27,2,5,55,B,50
28,2,6,61,B,55
29,2,4,65,B,61
30,2,6,81,L,65
31,2,3,84,B,81
32,2,1,85,B,84
33,2,3,88,B,85
34,2,4,92,B,88
35,2,5,97,B,92
36,2,1,78,S,97
37,2,6,84,B,78
38,2,1,85,B,84
39,2,3,88,B,85
40,2,4,92,B,88
41,2,5,97,B,92
42,2,5,100,B,97
0,3,5,5,B,0
1,3,2,7,B,5
2,3,4,11,B,7
3,3,1,12,B,11
4,3,2,14,B,12
5,3,3,17,B,14
6,3,5,22,B,17
7,3,2,24,B,22
8,3,2,26,B,24
9,3,6,32,B,26
10,3,6,38,B,32
11,3,6,44,B,38
12,3,1,45,B,44
13,3,3,48,B,45
14,3,2,50,B,48
15,3,2,52,B,50
16,3,1,53,B,52
17,3,3,53,S,53
18,3,2,55,B,53
19,3,6,61,B,55
20,3,6,67,B,61
21,3,6,73,B,67
22,3,3,76,B,73
23,3,5,81,B,76
24,3,3,84,B,81
25,3,1,85,B,84
26,3,5,90,B,85
27,3,6,96,B,90
28,3,6,100,B,96
0,4,2,2,B,0
1,4,5,7,B,2
2,4,1,8,B,7
3,4,3,11,B,8
4,4,2,13,B,11
5,4,2,15,B,13
6,4,1,6,S,15
7,4,2,8,B,6
8,4,6,14,B,8
9,4,4,18,B,14
10,4,3,42,L,18
11,4,6,48,B,42
12,4,2,50,B,48
13,4,6,53,S,50
14,4,4,57,B,53
15,4,5,19,S,57
16,4,1,20,B,19
17,4,6,26,B,20
18,4,4,30,B,26
19,4,4,34,B,30
20,4,4,38,B,34
21,4,2,40,B,38
22,4,1,41,B,40
23,4,3,44,B,41
24,4,3,26,S,44
25,4,6,32,B,26
26,4,3,35,B,32
27,4,3,38,B,35
28,4,2,40,B,38
29,4,6,46,B,40
30,4,2,48,B,46
31,4,1,11,S,48
32,4,5,6,S,11
33,4,2,8,B,6
34,4,3,11,B,8
35,4,3,14,B,11
36,4,6,20,B,14
37,4,5,25,B,20
38,4,2,27,B,25
39,4,6,33,B,27
40,4,4,37,B,33
41,4,5,42,B,37
42,4,5,26,S,42
43,4,1,27,B,26
44,4,5,32,B,27
45,4,4,44,L,32
46,4,1,45,B,44
47,4,4,11,S,45
48,4,2,13,B,11
49,4,4,17,B,13
50,4,2,19,B,17
51,4,3,22,B,19
52,4,2,24,B,22
53,4,5,29,B,24
54,4,4,33,B,29
55,4,6,39,B,33
56,4,1,40,B,39
57,4,4,44,B,40
58,4,1,45,B,44
59,4,6,67,L,45
60,4,4,81,L,67
61,4,1,82,B,81
62,4,5,24,S,82
63,4,4,84,L,24
64,4,1,85,B,84
65,4,4,89,B,85
66,4,2,91,B,89
67,4,4,75,S,91
68,4,6,81,B,75
69,4,3,84,B,81
70,4,4,88,B,84
71,4,2,90,B,88
72,4,6,96,B,90
73,4,3,99,B,96
74,4,2,100,B,99
0,5,2,2,B,0
1,5,2,14,L,2
2,5,5,19,B,14
3,5,5,24,B,19
4,5,3,27,B,24
5,5,6,33,B,27
6,5,2,35,B,33
7,5,2,37,B,35
8,5,5,42,B,37
9,5,5,26,S,42
10,5,3,29,B,26
11,5,3,32,B,29
12,5,2,34,B,32
13,5,3,37,B,34
14,5,4,41,B,37
15,5,6,26,S,41
16,5,4,30,B,26
17,5,6,44,L,30
18,5,3,26,S,44
19,5,2,84,L,26
20,5,3,24,S,84
21,5,4,84,L,24
22,5,6,90,B,84
23,5,3,73,S,90
24,5,1,74,B,73
25,5,3,77,B,74
26,5,1,78,B,77
27,5,4,82,B,78
28,5,6,88,B,82
29,5,1,89,B,88
30,5,4,73,S,89
31,5,4,77,B,73
32,5,2,79,B,77
33,5,3,82,B,79
34,5,1,83,B,82
35,5,5,88,B,83
36,5,5,73,S,88
37,5,2,75,B,73
38,5,6,81,B,75
39,5,5,86,B,81
40,5,6,92,B,86
41,5,2,94,B,92
42,5,6,100,B,94
0,6,4,14,L,0
1,6,3,17,B,14
2,6,3,20,B,17
3,6,6,26,B,20
4,6,2,84,L,26
5,6,1,85,B,84
6,6,4,89,B,85
7,6,1,90,B,89
8,6,5,75,S,90
9,6,6,81,B,75
10,6,6,24,S,81
11,6,6,30,B,24
12,6,6,44,L,30
13,6,2,46,B,44
14,6,3,11,S,46
15,6,1,12,B,11
16,6,6,18,B,12
17,6,4,22,B,18
