,n,die,end,kind,start
0,0,4,4,B,0
1,0,3,7,B,4
2,0,6,13,B,7
3,0,6,53,L,13
4,0,2,55,B,53
5,0,6,61,B,55
6,0,1,62,B,61
7,0,1,63,B,62
8,0,4,67,B,63
9,0,5,72,B,67
10,0,5,77,B,72
11,0,4,81,B,77
12,0,1,45,S,81
13,0,3,48,B,45
14,0,6,54,B,48
15,0,2,56,B,54
16,0,1,57,B,56
17,0,2,83,L,57
18,0,4,87,B,83
19,0,4,91,B,87
20,0,1,92,B,91
21,0,1,93,B,92
22,0,6,99,B,93
23,0,6,100,B,99
0,1,1,1,B,0
1,1,6,7,B,1
2,1,1,8,B,7
3,1,3,11,B,8
4,1,6,17,B,11
5,1,1,18,B,17
6,1,4,22,B,18
7,1,1,23,B,22
8,1,5,28,B,23
9,1,5,33,B,28
10,1,6,39,B,33
11,1,4,50,L,39
12,1,4,54,B,50
13,1,5,83,L,54
14,1,2,85,B,83
15,1,2,87,B,85
16,1,1,88,B,87
17,1,3,91,B,88
18,1,2,93,B,91
19,1,5,75,S,93
20,1,3,78,B,75
21,1,3,81,B,78
22,1,4,85,B,81
23,1,5,90,B,85
24,1,3,93,B,90
25,1,6,99,B,93
26,1,1,100,B,99
0,2,4,4,B,0
1,2,4,8,B,4
2,2,2,7,S,8
3,2,5,12,B,7
4,2,5,17,B,12
5,2,4,48,L,17
6,2,6,54,B,48
7,2,3,57,B,54
8,2,3,60,B,57
9,2,3,63,B,60
10,2,3,71,L,63
11,2,5,76,B,71
12,2,1,77,B,76
13,2,5,45,S,77
14,2,1,46,B,45
15,2,4,50,B,46
16,2,3,53,B,50
17,2,1,54,B,53
18,2,2,56,B,54
19,2,3,83,L,56
20,2,2,85,B,83
21,2,5,90,B,85
22,2,4,95,L,90
23,2,4,99,B,95
24,2,3,100,B,99
0,3,1,1,B,0
1,3,4,5,B,1
2,3,6,11,B,5
3,3,5,16,B,11
4,3,1,17,B,16
5,3,2,53,L,17
6,3,4,57,B,53
7,3,6,63,B,57
8,3,3,71,L,63
